Eigenvalue,Eigenvector 1,Eigenvector 2,Eigenvector 3,Eigenvector 4,Eigenvector 5,Eigenvector 6,Eigenvector 7,Eigenvector 8,Eigenvector 9,Eigenvector 10,Eigenvector 11,Eigenvector 12,Eigenvector 13,Eigenvector 14,Eigenvector 15,Eigenvector 16,Eigenvector 17,Eigenvector 18,Eigenvector 19,Eigenvector 20,Eigenvector 21,Eigenvector 22,Eigenvector 23,Eigenvector 24,Eigenvector 25,Eigenvector 26,Eigenvector 27,Eigenvector 28
3968855100.2958546,0.11215523632705601,0.24543198166954874,-0.0423514828565468,-0.03491730183153845,0.47997949078573104,-0.13374717716274998,-0.21472433415574066,-0.14265671078568568,0.006567811492182298,0.1897522030525592,0.056121840154255614,0.10556520115323989,-0.0996021318369202,0.08228210995216212,-0.2494177723117684,-0.22004928773410293,0.1662153413327706,-0.2801368554802129,-0.26667426423434626,-0.11793717335732537,-0.09485453270027572,0.0823128934847448,0.3892477227919593,-0.004559523937747468,-0.11123818409885926,0.10764942188928696,0.08156583806942194,-0.2067113997329591
974591307.2481029,-0.19540125817341583,-0.1325519746002747,-0.10404076436485658,-0.004839481347575377,-0.48003408658166435,-0.41655524905705604,-0.16585087587229386,-0.036327544569849296,0.08624236272551794,0.08779338625659265,0.08777449054448946,0.17271135405092217,-0.03878640563287016,-0.08548358056124211,-0.13723715207031661,-0.09430234602994499,0.09403289242516728,-0.11267584577535836,-0.05052243513334763,0.04168909122117093,0.1608517777315131,0.2449408999502005,0.03963259258381792,0.11324139762461599,0.15909640721756058,0.3591509722406218,0.327872878212132,0.1533345675990039
624397637.6621461,-0.23409838072469613,-0.241734739157054,-0.26590016925407606,-0.3562112253623941,0.2953716356020346,0.21048925581896213,0.09292668626557966,0.04599618802513347,-0.19843331844078757,-0.10024736787375188,-0.1969806823860867,-0.14855056576709463,-0.12718393548491272,-0.0724713039585386,-0.022606646777232564,0.032641527280898655,-0.10117578830480067,0.0333638627044784,0.10363570852038184,0.03918971176200041,-0.04331316442825972,0.009447199078714405,0.35517026532739654,0.23557962049403083,0.12823620059427007,0.1316562163806269,0.15597158856411997,0.3850111354129816
517070231.2040649,-0.2272261723204148,-0.15900496921541574,-0.2265816258775421,-0.22688247658326519,0.16088154390140202,-0.23952913997189018,-0.15959766723215935,-0.0666904730339845,0.08790851676000498,0.08478488320908928,0.00811465525259369,-0.04522011673601915,0.09195477389539865,0.16201072834801872,0.027440032265175725,0.29937812655438756,0.36621968222281215,0.043630119173516974,0.21355823783031927,0.4088162703290906,0.22050595426564457,0.1214869623169505,0.014286141203843907,-0.17318747414090357,-0.14418958464287704,-0.20751208624588485,-0.18430832627058383,-0.15755790805942116
365160385.2557281,-0.05807569356176382,-0.04415288311496673,0.20596119623124953,0.2744391236430349,0.3567470304759412,-0.49386059128264476,-0.11704155747119153,-0.09455194315079482,-0.18691149246935743,-0.1748885390927901,-0.0431342226641353,0.047309119053036634,0.07626698753414288,-0.03650652322483942,0.11063998195623538,0.11185704514609054,-0.08844228539054969,0.19232861762132764,0.2612395458647645,-0.2730000558314946,-0.04733538594636421,-0.0011331143286791429,-0.0333553640654617,-0.25183556597776685,-0.1174285916141537,0.12248196380490653,0.06334014996911122,0.30732028921716337
326870154.4144992,-0.025873821632517165,-0.1719671366872813,-0.15234070206412106,-0.3305681332449428,0.008598268509004695,-0.08127172469358418,0.09381375982173712,0.20712775487557275,0.09003245308018915,0.4986256905077721,0.23648975207657563,0.2932834689666265,0.21627383973210226,0.15354820860192742,0.1126255376469936,-0.06152166101851655,-0.17840816603269177,0.0039536850304497315,0.10336178353385349,-0.1801804701685521,-0.392704147212454,-0.1525738723771257,-0.08944872660585308,-0.15654964632623575,-0.05060252955573037,0.022524811180496613,-0.009449064468903905,0.0723934604328568
317381046.9675062,-0.25055906060362304,-0.0008522803176495778,-0.071331935778703,0.19115171338456355,0.18772497309346994,0.01630229182766131,0.2542142075253783,0.17149735537832797,0.3859484387550659,0.19042611552975958,-0.1035561379496061,-0.04273999092970934,-0.4906065420324285,-0.15036138979475652,-0.13748162063832262,-0.13305117371792544,0.147407193980848,0.11937609091769456,0.06997771370231631,0.01222395179426828,0.11135064137512446,-0.29260124395361353,-0.20998658425395306,-0.17404749663899588,-0.0952718685206704,0.08643744922637854,0.19522506962161057,-0.016893022828127057
286837857.85552174,-0.3076840204843436,-0.4528425776508358,0.10085116946054484,0.27419579943035177,0.3038888870482902,0.0769583677051697,-0.019538840639679568,0.04219711970771549,0.0367400883086033,0.03338620037751011,0.14223535474712592,0.27698617170045164,0.16435501672919106,-0.2184146632217766,-0.036342183256056974,-0.1754579687758612,-0.17233166710545844,-0.05050172272126396,-0.09470336441456705,-0.010988293587704291,0.1736395635030986,0.15751406107666951,-0.09699203114010957,0.30117445313222213,0.10187514293143345,-0.08722598484345984,-0.23956518906227783,-0.1909045956546446
260633535.80036253,0.038248997001082766,-0.035519296907131175,-0.10010176206022459,0.04333591409663693,0.15694319847491117,0.0015882709763256637,0.07585604566228457,-0.052964483563920785,-0.10205519701332577,-0.159735234294407,-0.2361892818230627,0.1909091265687573,0.10028912902259335,0.33352860017388986,0.2460722095314428,-0.04468411371956909,-0.07217460496196786,-0.5690714091674605,0.0521364891671832,0.16390850907064178,0.16415047428539184,-0.25306714384080364,-0.2982507633039185,-0.03296747476052292,0.13702976900697972,0.13504034696416636,0.2447578815914778,-0.05991983152144978
242436915.90636173,-0.3075264823453793,0.030586859182157033,-0.1132294579924913,0.2670360853356661,-0.09933531744309813,0.06320971871160751,-0.15172504473636783,-0.38804134249398714,0.09213355393057339,-0.020791047797976327,0.19101633016331152,-0.08856909333221855,0.09176111462567402,0.23762626953153776,0.19195299718259898,-0.06064049964341507,0.14646311185320895,0.13392008403410216,0.039659752784379824,-0.018718588514563168,-0.24938160192800404,-0.364952616820516,0.09299391545771406,0.4015830761000866,-0.1714876738416188,-0.09916271366528102,0.16797552616687642,0.013275516026757358
